year,month,day,country,title,text,hazard-category,product-category,hazard,product
2020,10,15,uk,Lidl GB recalls Cologran Sucralose sweetener tablets because of undeclared aspartame (E951),"Lidl GB is recalling Cologran Sucralose sweetener tablets (Sucralose variant) because aspartame (E951) is not mentioned on the label. This means the product is a possible health risk to sufferers of phenylketonuria (PKU). Product details Cologran Sucralose sweetener tablets Pack size 300 tablets Batch code L 00083 A, L00083 B, L00149 A Best before end dates: January 2023, February 2023 Risk statement This product contains aspartame, (E951), (a source of phenylalanine) making it a possible health risk for sufferers of phenylketonuria (PKU). Action taken by the company Lidl GB is recalling the above product. Point-of-sale notices will be displayed in all Lidl GB stores that are selling this product. These notices explain to customers why the product is being recalled and tell them what to do if they have bought the product. Please see the attached notice. Customer notice Cologran Sweetener Tablets Our advice to consumers If you have bought the above product, and suffer from phenylketonuria (PKU), do not eat it. Instead, return it to the Lidl GB store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-47-2020 Subscribe to news and alerts
Lidl GB is recalling Cologran Sucralose sweetener tablets (Sucralose variant) because aspartame (E951) is not mentioned on the label. This means the product is a possible health risk to sufferers of phenylketonuria (PKU). Product details Cologran Sucralose sweetener tablets Pack size 300 tablets Batch code L 00083 A, L00083 B, L00149 A Best before end dates: January 2023, February 2023 Risk statement This product contains aspartame, (E951), (a source of phenylalanine) making it a possible health risk for sufferers of phenylketonuria (PKU). Action taken by the company Lidl GB is recalling the above product. Point-of-sale notices will be displayed in all Lidl GB stores that are selling this product. These notices explain to customers why the product is being recalled and tell them what to do if they have bought the product. Please see the attached notice. Customer notice Cologran Sweetener Tablets Our advice to consumers If you have bought the above product, and suffer from phenylketonuria (PKU), do not eat it. Instead, return it to the Lidl GB store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-47-2020 Subscribe to news and alerts",fraud,food additives and flavourings,undeclared additive,sweeteners
2021,3,3,us,Ridley Block Operations Voluntarily Recalls Three Batches of Crystalyx® Sheep-lyxTM,"Ridley Block Operations is voluntarily recalling three batches of CRYSTALYX Sheep-lyx. The product batches have been found to have elevated levels of copper, which is out of specification. With prolonged consumption, the affected product could potentially have adverse health effects on sheep. This recall relates only to CRYSTALYX Sheep-lyx with the following batch/lot numbers printed on the package: No other batch/lot numbers or other Ridley Block Operations products are involved in this voluntary recall. Only the specific batches and lot numbers of CRYSTALYX Sheep-lyx listed above are impacted. No injuries or illnesses have been reported. Ridley Block Operations has notified its customers of this voluntary recall. Products matching these batch/lot numbers should be removed from distribution/inventory and discontinued from feeding. Customers are encouraged to call Ridley Block Operations customer service at 1-903-480-0021 (Monday – Friday, 8:00 a.m. - 4:00 p.m. CT) for instructions on what to do with affected product inventory. Customer Service: 1-903-480-0021 Media Contact: press@alltech.com",chemical,feed materials,high content of copper,feed materials
2021,6,8,us,Hubbard Feeds Voluntarily Recalls Easy Feed Organic Chick Starter/Grower Org,"Hubbard Feeds is voluntarily recalling EASY FEED ORGANIC CHICK STARTER/GROWER ORG with batch number B01785781. The product has been found to contain deficient levels of salt. Low sodium may cause abnormal nerve impulses so chicks’ muscles will not move well. Low sodium can also affect the cell’s normal internal pressure which can affect cardiac output due to deflated muscle not working well. The growth of birds may also be negatively impacted. This recall relates only to EASY FEED ORGANIC CHICK STARTER/GROWER ORG distributed in the state of Colorado, with the following batch number printed on the package: Customers are asked to remove all product matching this batch number from distribution and inventory and discontinue feeding it immediately. No other batch numbers or other Hubbard Feeds products are involved in this voluntary recall. Hubbard Feeds will continue to work closely with the Food and Drug Administration throughout the recall process. Our representatives are in direct communication with our customers to ensure the proper identification and removal of the impacted products. To implement this recall, customers should take the following actions: For guidance on affected product inventory or any other questions, customers may contact Hubbard Feeds Customer Service at 1-800-333-7929 (Monday – Friday, 7:00 a.m. – 6:00 p.m. Mountain Time).",fraud,feed materials,compositional deviation,feed materials
2021,6,11,us,Purina Animal Nutrition Voluntarily Recalling One Lot of Purina® RangeLand® 30-13 (125#) Cattle Feed,"Purina Animal Nutrition is initiating a very limited voluntary recall of one lot of Purina® RangeLand® 30-13 (125#) beef cattle feed. This recall is being initiated as a precaution related to tubs that are too soft, allowing over-consumption, which could result in urea toxicity. Purina Animal Nutrition received reports from customers claiming the feed may have resulted in poor health and/or death. Elevated urea levels can cause health issues and potential death in cattle. Symptoms of excess urea may include muscle tremors (especially of the face and ears), abdominal pain, frothy salivation, polyuria, and bruxism (grinding of teeth). The affected product and lot number is: The affected feed was manufactured by Purina Animal Nutrition on March 19, 2021. The affected Purina® feed was sold in the following states: Arizona, Arkansas, Hawaii, Idaho, Louisiana, Mississippi, New Mexico, Oklahoma, Oregon, Texas, Washington. Customers can find the lot number on the side of each tub. Customers who purchased this product are instructed stop feeding and to destroy or return it to the point of purchase. Customers may contact Purina Animal Nutrition’s Customer Service at 800-227-8941 Monday through Friday from 8 a.m. to 4:30 p.m. CST.",other hazard,feed materials,other,feed materials
2021,6,29,hk,Antibiotic (metronidazole) found in honey sample,"Antibiotic (metronidazole) found in honey sample Issue Date 29.6.2021 Source of Information Centre for Food Safety (CFS) Food Product Bottled honey Product Name and Description Product: Winter Honey Brand: Select Distributor: PARKnSHOP (HK) Limited Net weight: 1 kilogram per bottle Best-before date: January 10, 2023 Reason For Issuing Alert The CFS collected the above-mentioned honey sample from a supermarket in Yuen Long for testing under its routine Food Surveillance Programme. The test result showed that the sample contained metronidazole at a level of 3.3 micrograms per kg. According to the Joint FAO/WHO Expert Committee on Food Additives (JECFA), residues of metronidazole or its metabolites may cause significant health concerns, and competent authorities should prevent residues of metronidazole in food. Action Taken by the Centre for Food Safety The CFS has notified the vendor concerned of the test result and instructed it to stop selling the affected batch of the product. The distributor concerned has also initiated a recall on the affected batch of the product according to the CFS's instruction. The CFS is tracing the source and distribution of the food in question. Prosecution will be instituted should there be sufficient evidence. The CFS will alert the trade, continue to follow up on the case and take appropriate action. An investigation is ongoing. Advice to the Trade Stop using or selling the products concerned immediately if they possess them. Advice to Consumers Members of the public may call its hotline at 2606 8658 during office hours for enquiries about the recall of the product. Further Information The CFS press release Centre for Food Safety Food and Environmental Hygiene Department 2021-6-29 Back",chemical,honey and royal jelly,"antibiotics, vet drugs",honey
2021,6,29,us,Manna Pro Products LLC Issues Limited Voluntary Recall of Flock Party Quack Snacks Sold in the United States Because of Possible Health Risk Due to Potential Salmonella Contamination,"Manna Pro Products, LLC, St. Louis, Missouri, is voluntarily recalling a single lot of Flock Party Quack Snacks (poultry treat) with a Best By date of 12/2023, packaged in 1.68 pound bags because it has the potential to be contaminated with Salmonella. Manna Pro Products LLC was informed by the State of West Virginia of a positive Salmonella spp. result in a routine surveillance sample of Flock Party Quack Snacks. Salmonella is a risk to humans from handling contaminated products, especially if they have not thoroughly washed their hands after having contact with the products or any surfaces exposed to these products. Healthy people infected with Salmonella should monitor themselves for some or all of the following symptoms: nausea, vomiting, diarrhea or bloody diarrhea, abdominal cramping and fever. Rarely, Salmonella can result in more serious ailments, including arterial infections, endocarditis, arthritis, muscle pain, eye irritation, and urinary tract symptoms. Consumers exhibiting these signs after having contact with this product should contact their healthcare providers. The bags are magenta and light blue in color and made of plastic (see images below). These products have a Best By date of 12/2023, which is printed on the bottom of the bag. This voluntary recall applies only to Flock Party Quack Snacks with Best By dates of 12/2023. Distribution of this product has been suspended while Manna Pro continues its investigation as to the source of the contamination. This product was distributed beginning February 2, 2021 at retail stores throughout the United States. Customers who purchased Flock Party Quack Snacks with a Best By date of 12/2023 should stop feeding the product immediately, throw the product away, and contact Manna Pro at the phone number below for a full refund. Customers with questions or concerns should contact Manna Pro at (800) 690-9908 ext. 2, Monday through Friday from 8:00 AM to 4:00 PM Central time. Members of the media can should refer their inquiries to Noah Messel of O’Malley Hansen at (314) 656-8302 or Noah.Messel@omalleyhansen.com.  ",biological,feed materials,salmonella,feed materials
2021,7,5,ca,"El Rashidi El Mizan brand Pure Natural Honey recalled due to presence of Enrofloxacin, Ciprofloxacin, Sulfadiazine, Sulfamethoxazole and Sulfamethazine","Notification - El Rashidi El Mizan brand Pure Natural Honey recalled due to presence of Enrofloxacin, Ciprofloxacin, Sulfadiazine, Sulfamethoxazole and Sulfamethazine From: Canadian Food Inspection Agency Recall / advisory date: July 5, 2021 Reason for recall / advisory: Chemical Hazard classification: Class 2 Company / Firm: Noble Hope Import & Export Distribution: Ontario Extent of the distribution: Retail Reference number: 14475 Contents Affected products Public enquiries and media Affected products Brand Name Common Name Size UPC Code(s) on Product El Rashidi El Mizan Pure Natural Honey 750 g 6 223000 053270 PROD: 14/OCTOBER/2020 EXP: 14/OCTOBER/2022 (2047) Public enquiries and media Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: information@inspection.gc.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@inspection.gc.ca Report a problem on this page Date modified: 2021-07-06",chemical,honey and royal jelly,sulfamethazine unauthorised,natural honey
2021,7,27,ie,Recall of a Batch of Morliny Boczek z Komina due to the Presence of the Unauthorised Pesticide Ethylene Oxide,"Recall of a Batch of Morliny Boczek z Komina due to the Presence of the Unauthorised Pesticide Ethylene Oxide Tuesday, 27 July 2021 Summary Category 2: For Information Alert Notification: 2021.54 Product: Morliny Boczek z Komina, pack size: variable weight (300-500g) Batch Code: Batch Code: 3250607933, use by date: 28.07.2021 Country Of Origin: Poland Message: The above batch of Morliny Bacon z Komina is being recalled due to the presence of the unapproved pesticide ethylene oxide in the batch of food additive locust bean gum (E410) used in its production. Locust bean gum (E410) is an approved food additive in the EU and is used as a thickener and stabiliser in a broad range of food products.  Ethylene oxide is a pesticide that is not permitted for use in foods sold in the EU but is approved for use by other countries outside the EU. Although the consumption of the contaminated product does not pose an acute risk to health, there is an increased risk if there is continued consumption of ethylene oxide in contaminated food over a long period of time. Therefore, exposure to ethylene oxide needs to be minimised.
Recall of a Batch of Morliny Boczek z Komina due to the Presence of the Unauthorised Pesticide Ethylene Oxide Tuesday, 27 July 2021 Summary Category 2: For Information Alert Notification: 2021.54 Product: Morliny Boczek z Komina, pack size: variable weight (300-500g) Batch Code: Batch Code: 3250607933, use by date: 28.07.2021 Country Of Origin: Poland Message: The above batch of Morliny Bacon z Komina is being recalled due to the presence of the unapproved pesticide ethylene oxide in the batch of food additive locust bean gum (E410) used in its production. Locust bean gum (E410) is an approved food additive in the EU and is used as a thickener and stabiliser in a broad range of food products.  Ethylene oxide is a pesticide that is not permitted for use in foods sold in the EU but is approved for use by other countries outside the EU. Although the consumption of the contaminated product does not pose an acute risk to health, there is an increased risk if there is continued consumption of ethylene oxide in contaminated food over a long period of time. Therefore, exposure to ethylene oxide needs to be minimised.",chemical,food additives and flavourings,unauthorised substance ethylene oxide,"emulsifiers, stabilizers, thickeners and gelling agents"
2021,7,29,hk,CFS urges public not to consume stabiliser from France with possible presence of ethylene oxide,"CFS urges public not to consume stabiliser from France with possible presence of ethylene oxide The Centre for Food Safety (CFS) of the Food and Environmental Hygiene Department today (July 29) urged the public not to consume a kind of stabiliser imported from France because the locust bean gum used in the product was found with a pesticide, ethylene oxide, which is not authorised by the European Union (EU). The trade should stop using or selling the product concerned immediately if they possess it.   Details of the product are as follows:   Product name: Super Neutrose Brand: Louis Francois Place of origin: France Net weight: 1 kilogram per pack Batches: 174A0, 205B0, 290B0, 7D1 Best-before date: June 2022 (174A0), July 2022 (205B0), October 2022 (290B0), January 2023 (7D1) Importer: Classic Fine Foods (Hong Kong) Limited (telephone hotline: 2612 2066)   Product name: Stab 2000 Brand: Louis Francois Place of origin: France Net weight: 1kg per pack Batch: 322C9 Best-before date: November 2021 Importers: Classic Fine Foods (Hong Kong) Limited (telephone hotline: 2612 2066), Foodgears Industrial International Limited (telephone hotline: 3999 5706), Maxly Food Company Limited (telephone hotline: 2552 7128)   A spokesman for the CFS said, ""The CFS received a notification from the Rapid Alert System for Food and Feed (RASFF) of the European Commission that the locust bean gum used in the above-mentioned products were found earlier with a pesticide, ethylene oxide, which is not authorised by the EU. According to the information provided by the RASFF, the affected products have been imported into Hong Kong. Upon learning of the incident, the CFS immediately contacted local importers concerned for follow-up.""   Preliminary investigation found that the above-mentioned importers had imported into Hong Kong the affected batches of the products concerned. Since ethylene oxide is not authorised by the EU, for the sake of prudence, the importers have removed the products from shelves, stopped the sale of the affected products upon the CFS' advice and have initiated a recall. Members of the public may call the relevant importers' hotlines mentioned above during office hours for enquiries about the recall.   The spokesman urged consumers not to consume the affected products if they have bought any. The trade should also stop using or selling the products concerned immediately if they possess them.   The CFS will alert the trade to the incident, and will continue to follow up and take appropriate action. Investigation is ongoing.   Ends",chemical,food additives and flavourings,unauthorised substance ethylene oxide,"emulsifiers, stabilizers, thickeners and gelling agents"
2022,1,21,ie,Recall of All Batches of Hugold CBD Oil Products Due to the Presence of an Unauthorised Novel Food Processed in an Unregistered Establishment,"Recall of All Batches of Hugold CBD Oil Products Due to the Presence of an Unauthorised Novel Food Processed in an Unregistered Establishment Friday, 21 January 2022 Summary Category 1: For Action Alert Notification: 2022.06 Product: See table below for product details Batch Code: All batch codes, all best before dates. Country Of Origin: Ireland Message: The Hugold CBD Oils listed below are being recalled as the products have been processed in an establishment where the activity has not been notified to the competent authority and is unregistered. The products listed below also contain concentrated CBD which is an unauthorised novel food. Nature Of Danger: The safety of the unauthorised novel food (concentrated CBD) and products containing it have not been assessed and they should not be on the EU market (Article 6.2 of Regulation EU 2015/2283). The processing facility is not registered and basic food safety, hygiene and traceability procedures are not in place. Action Required: Consumers: Consumers are advised not to consume the implicated batches.
Recall of All Batches of Hugold CBD Oil Products Due to the Presence of an Unauthorised Novel Food Processed in an Unregistered Establishment Friday, 21 January 2022 Summary Category 1: For Action Alert Notification: 2022.06 Product: See table below for product details Batch Code: All batch codes, all best before dates. Country Of Origin: Ireland Message: The Hugold CBD Oils listed below are being recalled as the products have been processed in an establishment where the activity has not been notified to the competent authority and is unregistered. The products listed below also contain concentrated CBD which is an unauthorised novel food. Nature Of Danger: The safety of the unauthorised novel food (concentrated CBD) and products containing it have not been assessed and they should not be on the EU market (Article 6.2 of Regulation EU 2015/2283). The processing facility is not registered and basic food safety, hygiene and traceability procedures are not in place. Action Required: Consumers: Consumers are advised not to consume the implicated batches.",other hazard,food contact materials,unauthorised operator,plastics
2022,5,27,ca,"Rogers brand Golden Yellow Sugar recalled due to pieces of plastic - Recalls, advisories and safety alerts – Canada.ca","Notification Rogers brand Golden Yellow Sugar recalled due to pieces of plastic Brand(s) Rogers Last updated 2022-05-24 Summary Product Golden Yellow Sugar Issue Food - Extraneous Material What to do Do not use, sell, serve or distribute the affected product Audience Retail Affected products Brand Product Size UPC Codes Rogers Golden Yellow Sugar 2 kg 0 63111 12144 6 1022031 Issue Rogers brand Golden Yellow Sugar recalled due to pieces of plastic. The recalled product was distributed in Alberta and British Columbia. Additional information Details Original published date: 2022-05-27 Alert / recall type Notification Category Food - Candy, confectionary, snacks and sweeteners Companies Lantic Inc. Published by Canadian Food Inspection Agency Audience Retail Recall class Class 2 Identification number RA-64198 Canadian Food Inspection Agency ID 15004 Media and public enquiries Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: information@inspection.gc.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@inspection.gc.ca Report a health or safety concern",foreign bodies,sugars and syrups,plastic fragment,sugar
2022,7,19,us,MKS Enterprise LLC Voluntary Recalls of Dose Vital VIP Vital Honey Due to Presence of Undeclared Tadalafil,"This product was found to contain the undeclared active pharmaceutical ingredient tadalafil. Tadalafil, which is a phosphodiesterase type-5 (PDE-5) inhibitor, is the active ingredient in an FDA-approved prescription drug, used to treat erectile dysfunction (ED). This undeclared ingredient may interact with nitrates found in some prescription drugs such as nitroglycerin and may lower blood pressure to dangerous levels. Men with diabetes, high blood pressure, high cholesterol, or heart disease often take nitrates. Product was sold through our website, wholesaleonline1.com Mar 2022 to July 2022 and ­ distributed in any US State. The product comes in a black box and contains 12 sachets of 15 grams of honey with different expiration dates stamped on the back side. To date, wholesaleonline1.comhas not received any reports of adverse events related to this recall. The recall was initiated after FDA laboratory analysis confirmed that Dose Vital VIP Vital Honey contains the undeclared active pharmaceutical ingredient Tadalafil. Consumers who have purchased Vital Honey on wholesaleonline1.com are urged to immediately discontinue use and return the recalled product for a full refund to: MKS Enterprise, LLC, 59 Paulison Ave. Passaic, NJ 07055 Consumers with questions may contact the wholesaleonline1.com at 201-206-0501 Monday to Friday from 9:00 AM to 6:00 PM (EDT). Adverse reactions or quality problems experienced with the use of this product may be reported to the FDA's MedWatch Adverse Event Reporting program either online, by regular mail or by fax.",chemical,honey and royal jelly,other,honey
